variant,effective_update,raw_action_loss,raw_direction_loss,raw_alignment_loss,weighted_direction_loss,weighted_alignment_loss,learning_rate,lambda_a,lambda_b,gradient_norm_before_clip,gradient_clip_scale,direction_supervised_samples_in_update
sa,107,10.84375,12.1875,,3.65625,,3.2067928259493783e-06,0.3,0.005350000000000001,16.6595458984375,0.06002564572265983,15
sa,108,11.546875,12.21875,,3.665625,,3.2367624953622e-06,0.3,0.0054,21.34227180480957,0.046855368029501236,15
sa,109,12.140625,13.0,,3.9,,3.2667321647750214e-06,0.3,0.00545,21.133045196533203,0.0473192571491801,16
sa,110,11.109375,12.734375,,3.8203125,,3.2967036531772465e-06,0.3,0.0055000000000000005,17.389724731445312,0.05750522308106064,16
sa,111,11.28125,11.703125,,3.5109375,,3.326673322590068e-06,0.3,0.00555,18.50733757019043,0.05403262334235959,14
sa,112,11.546875,11.125,,3.3375,,3.3566429920028895e-06,0.3,0.005600000000000001,19.301223754882812,0.05181018637468625,14
sa,113,11.515625,12.265625,,3.6796875,,3.386612661415711e-06,0.3,0.0056500000000000005,18.124544143676758,0.05517380145248383,15
sa,114,10.9375,12.390625,,3.7171874999999996,,3.416584149817936e-06,0.3,0.0057,19.169742584228516,0.052165541378877356,15
sa,115,11.8125,12.921875,,3.8765625,,3.4465538192307577e-06,0.3,0.005750000000000001,20.76631736755371,0.0481549030721474,16
sa,116,11.328125,11.515625,,3.4546875,,3.476523488643579e-06,0.3,0.0058000000000000005,20.17089080810547,0.049576392511041706,14
sa,117,9.828125,12.6875,,3.80625,,3.5064931580564007e-06,0.3,0.005850000000000001,17.56035614013672,0.05694645325070351,16
sa,118,11.015625,13.046875,,3.9140625,,3.5364628274692222e-06,0.3,0.0059,19.461389541625977,0.05138379239884693,16
sa,119,10.75,10.5,,3.15,,3.5664343158714473e-06,0.3,0.00595,18.32550621032715,0.05456875179996176,13
sa,120,10.671875,12.296875,,3.6890625,,3.596403985284269e-06,0.3,0.006,18.997182846069336,0.052639383855112375,15
sa,121,11.21875,12.828125,,3.8484374999999997,,3.6263736546970904e-06,0.3,0.00605,19.66775131225586,0.050844653469705764,16
sa,122,10.078125,11.359375,,3.4078125,,3.656343324109912e-06,0.3,0.0061,17.561731338500977,0.05694199397115691,14
sa,123,10.84375,11.46875,,3.440625,,3.6863129935227334e-06,0.3,0.00615,20.3492488861084,0.0491418629550823,14
sa,124,10.578125,11.796875,,3.5390625,,3.7162844819249585e-06,0.3,0.006200000000000001,18.1218204498291,0.05518209402684102,15
sa,125,10.953125,12.296875,,3.6890625,,3.74625415133778e-06,0.3,0.00625,21.789888381958008,0.04589284637309103,15
sa,126,10.28125,12.1875,,3.65625,,3.7762238207506016e-06,0.3,0.0063,19.867042541503906,0.05033461814514751,15
sa,127,10.015625,12.109375,,3.6328125,,3.806193490163423e-06,0.3,0.006350000000000001,18.153778076171875,0.05508495233356252,15
sa,128,9.875,11.171875,,3.3515625,,3.836163159576245e-06,0.3,0.0064,18.1318416595459,0.05515159567222056,14
sa,129,9.6875,12.515625,,3.7546874999999997,,3.86613464797847e-06,0.3,0.006450000000000001,16.820188522338867,0.05945236574916515,16
sa,130,9.484375,12.8125,,3.84375,,3.896104317391291e-06,0.3,0.006500000000000001,19.34193229675293,0.05170114260858401,16
sa,131,9.703125,12.4375,,3.7312499999999997,,3.926073986804113e-06,0.3,0.00655,16.851865768432617,0.0593406103360512,16
sa,132,9.75,12.453125,,3.7359375,,3.956045475206338e-06,0.3,0.006600000000000001,19.672672271728516,0.05083193509186316,16
sa,133,9.484375,12.703125,,3.8109374999999996,,3.986013325629756e-06,0.3,0.0066500000000000005,16.160890579223633,0.06187777802824774,16
sa,134,9.140625,11.6875,,3.50625,,4.015984814031981e-06,0.3,0.006700000000000001,16.528682708740234,0.06050088912840029,15
sa,135,9.34375,11.125,,3.3375,,4.0459544834448025e-06,0.3,0.006750000000000001,17.594148635864258,0.05683707809320085,14
sa,136,9.203125,11.765625,,3.5296875,,4.075924152857624e-06,0.3,0.0068000000000000005,17.64014434814453,0.056688878518456366,15
sa,137,9.359375,12.375,,3.7125,,4.105895641259849e-06,0.3,0.006850000000000001,17.600271224975586,0.05681730623451726,16
sa,138,8.890625,11.890625,,3.5671874999999997,,4.135865310672671e-06,0.3,0.006900000000000001,17.05788803100586,0.05862390456440536,15
sa,139,9.4375,11.421875,,3.4265624999999997,,4.165834980085492e-06,0.3,0.006950000000000001,17.833349227905273,0.05607471637661981,14
sa,140,8.515625,11.515625,,3.4546875,,4.19580283050891e-06,0.3,0.007000000000000001,16.37845230102539,0.06105583003941062,15
sa,141,9.515625,11.921875,,3.5765625,,4.225772499921732e-06,0.3,0.00705,17.984506607055664,0.055603415865058035,15
sa,142,8.25,10.65625,,3.196875,,4.255743988323957e-06,0.3,0.0070999999999999995,15.669425964355469,0.06381854716789129,14
sa,143,8.84375,11.53125,,3.459375,,4.285713657736778e-06,0.3,0.00715,14.561790466308594,0.06867287386902632,15
sa,144,8.390625,11.390625,,3.4171875,,4.3156833271496e-06,0.3,0.0072,15.447226524353027,0.06473654014353122,15
sa,145,7.9453125,12.671875,,3.8015624999999997,,4.345652996562421e-06,0.3,0.0072499999999999995,16.690494537353516,0.05991434212820888,16
sa,146,8.640625,10.96875,,3.290625,,4.375622665975243e-06,0.3,0.0073,17.677309036254883,0.05656969609735692,14
sa,147,8.1484375,11.90625,,3.571875,,4.405594154377468e-06,0.3,0.00735,15.360116958618164,0.06510367093519596,15
sa,148,8.2734375,11.90625,,3.571875,,4.4355638237902895e-06,0.3,0.0074,14.756099700927734,0.06776858521341712,15
sa,149,7.8671875,12.390625,,3.7171874999999996,,4.465533493203111e-06,0.3,0.00745,14.821611404418945,0.06746904723880819,16
sa,150,8.1796875,10.765625,,3.2296875,,4.4955031626159325e-06,0.3,0.0075,15.181612014770508,0.06586915796735412,14
sa,151,7.7109375,12.296875,,3.6890625,,4.525472832028754e-06,0.3,0.00755,15.142740249633789,0.0660382456222997,16
sa,152,7.5390625,12.21875,,3.665625,,4.555444320430979e-06,0.3,0.0076,14.50886058807373,0.06892339987207535,16
sa,153,8.109375,12.40625,,3.721875,,4.585413989843801e-06,0.3,0.0076500000000000005,14.706727981567383,0.06799609003806598,16
sa,154,7.1328125,12.40625,,3.721875,,4.615383659256622e-06,0.3,0.0077,13.483101844787598,0.07416690992262939,16
sa,155,7.1796875,11.734375,,3.5203124999999997,,4.645355147658847e-06,0.3,0.00775,14.516645431518555,0.06888643831093368,15
sa,156,8.125,10.921875,,3.2765625,,4.675322998082265e-06,0.3,0.0078000000000000005,15.648785591125488,0.06390272230243256,14
sa,157,7.4921875,11.78125,,3.534375,,4.70529448648449e-06,0.3,0.007850000000000001,14.369465827941895,0.06959200933241842,15
sa,158,7.203125,12.328125,,3.6984375,,4.735264155897312e-06,0.3,0.0079,13.200566291809082,0.07575432582922578,16
sa,159,6.9140625,12.21875,,3.665625,,4.765233825310133e-06,0.3,0.00795,13.09965705871582,0.0763378762907883,16
sa,160,7.0546875,11.40625,,3.421875,,4.7952053137123585e-06,0.3,0.008,14.115707397460938,0.07084306665210947,15
sa,161,6.90625,12.390625,,3.7171874999999996,,4.82517498312518e-06,0.3,0.00805,13.85444164276123,0.07217901852598205,16
sa,162,7.0703125,10.546875,,3.1640625,,4.8551446525380015e-06,0.3,0.008100000000000001,12.003257751464844,0.08331071619935536,14
sa,163,7.0703125,11.40625,,3.421875,,4.885114321950823e-06,0.3,0.008150000000000001,12.496466636657715,0.08002261991934213,15
sa,164,6.734375,11.546875,,3.4640625,,4.915083991363645e-06,0.3,0.0082,12.559789657592773,0.07961916777766016,15
sa,165,6.7421875,11.546875,,3.4640625,,4.94505547976587e-06,0.3,0.00825,11.885597229003906,0.08413544399432815,15
sa,166,6.828125,10.9375,,3.28125,,4.975025149178691e-06,0.3,0.0083,10.996258735656738,0.09094002096889331,15
sa,167,6.7265625,11.859375,,3.5578125,,5.004994818591513e-06,0.3,0.008350000000000002,10.969352722167969,0.09116308184521223,16
sa,168,6.390625,12.0,,3.5999999999999996,,5.034964488004334e-06,0.3,0.008400000000000001,11.302700996398926,0.08847442751237983,16
sa,169,6.6796875,11.265625,,3.3796874999999997,,5.064934157417156e-06,0.3,0.008450000000000001,12.140494346618652,0.0823689687956173,15
sa,170,6.46875,11.1875,,3.3562499999999997,,5.094905645819381e-06,0.3,0.0085,11.33700942993164,0.08820668326867835,15
sa,171,6.4765625,11.171875,,3.3515625,,5.124875315232202e-06,0.3,0.00855,10.951793670654297,0.09130924395330182,15
sa,172,6.3828125,10.078125,,3.0234375,,5.154844984645024e-06,0.3,0.0086,10.434935569763184,0.09583192855523252,14
sa,173,6.5390625,9.546875,,2.8640624999999997,,5.1848146540578455e-06,0.3,0.00865,12.135029792785645,0.08240606055986006,13
sa,174,5.8359375,11.015625,,3.3046875,,5.214784323470667e-06,0.3,0.0087,8.278701782226562,0.12079188576968518,15
sa,175,6.4375,11.0,,3.3,,5.244755811872892e-06,0.3,0.008749999999999999,10.143370628356934,0.09858655831863104,15
sa,176,6.21875,11.015625,,3.3046875,,5.274725481285714e-06,0.3,0.0088,9.53646469116211,0.1048606619313284,15
sa,177,6.2890625,9.5,,2.85,,5.304695150698535e-06,0.3,0.00885,8.495942115783691,0.11770325013658088,13
sa,178,5.90625,11.34375,,3.4031249999999997,,5.334664820111357e-06,0.3,0.0089,7.865934371948242,0.12713047842939465,15
sa,179,5.75,10.9375,,3.28125,,5.364634489524178e-06,0.3,0.00895,8.24242115020752,0.12132357492735286,15
